wavelength,UV1: template 365,B: template 445,LW: template 565
300,0.2366054331,0.0171319918,1.98690994509828E-05
310,0.3454964,0.0267312908,9.76660821386803E-05
320,0.4863915569,0.0399782174,0.0003445327
330,0.651465656,0.0582582063,0.0009400258
340,0.8181026504,0.0835401286,0.002105644
350,0.9486080306,0.1184466937,0.0040601971
360,1,0.1662128256,0.0069965149
370,0.9438294819,0.2304065059,0.0110950653
380,0.7857747221,0.314240277,0.016564313
390,0.5688589222,0.4193148887,0.0236901267
400,0.3532766349,0.5437864436,0.0328830699
410,0.1858116774,0.6803039836,0.0447206263
420,0.0817865737,0.8145921634,0.0599848159
430,0.0297927779,0.9259955449,0.0796938568
440,0.0088898378,0.9911586057,0.1051210965
450,0.0021523983,0.9908271988,0.1377867021
460,0.0004192154,0.9176794898,0.1793986733
470,6.51646112033632E-05,0.7813304493,0.2317115566
480,8.02676022339844E-06,0.6069583697,0.2962677194
492,4.74097640384604E-07,0.3931700029,0.3911259374
500,5.90928746483291E-08,0.2703639045,0.4646513729
510,3.49333598714746E-09,0.1529622427,0.5661969409
520,1.60082583731868E-10,0.0768689074,0.6741796893
532,2.8133309324343E-12,0.0285539082,0.8019274774
540,1.54153465272993E-13,0.0132962224,0.8780830001
550,3.21811820684638E-15,0.0045284928,0.9528505003
560,5.13932722622242E-17,0.0013413217,0.994484151
570,6.26488336777892E-19,0.000343991,0.9943216685
580,5.81882340589148E-21,7.60708883073704E-05,0.9486583706
589,6.83088094848533E-23,1.71810776004298E-05,0.8708839095
600,2.20819070778184E-25,2.35016355429104E-06,0.7389480012
610,9.00464763998108E-28,3.26143977506927E-07,0.5988749409
620,2.7867202962426E-30,3.85099231405526E-08,0.4563780029
632,1.88597840034695E-33,2.38757229083656E-09,0.3022472456
640,1.16557802685144E-35,3.27301652727261E-10,0.2174176054
650,1.57549046889099E-38,2.34514842205101E-11,0.135057949
660,1.61650510815087E-41,1.41661947720059E-12,0.0778936318
670,6.06564975796655E-45,5.29558095284905E-14,0.0388935365
680,7.46111194528687E-48,3.07654040200201E-15,0.0205062023
690,3.36177656608995E-51,1.10288568485446E-16,0.0093113322
700,1.15347801171308E-54,3.31384506528765E-18,0.0038845738
