wavelength,UV1 template: 365,B: template 470,LW: template 561
300,0.2009133464,0.02349318,0.000028848
310,0.2952954946,0.029640577,0.0001324057
320,0.4208985729,0.0370876,0.0004420634
330,0.5749091182,0.046601711,0.0011545579
340,0.742400788,0.059217645,0.002499239
350,0.8933388459,0.076313776,0.0046940338
360,0.9869405873,0.099703267,0.0079302128
370,0.9863426876,0.131702859,0.0123949048
380,0.8788602578,0.175117255,0.0183168429
390,0.6884521433,0.233042457,0.0260176763
400,0.4678087543,0.308361087,0.0359596111
410,0.2722652606,0.402809203,0.0487877994
420,0.1341116854,0.515588007,0.0653679001
430,0.0552912637,0.641722773,0.0868160882
440,0.0188831102,0.770726357,0.1145122367
450,0.0052914232,0.886467918,0.150078308
460,0.00120599,0.969186575,0.1952945007
470,0.0002217695,1,0.2519180081
480,3.26642941512265E-05,0.966988445,0.3213684014
492,2.4244765977773E-06,0.84465045,0.4224094897
500,3.54838496764704E-07,0.724959661,0.4997785089
510,2.58757838299907E-08,0.55515024,0.605037079
520,1.4773790110331E-09,0.388681879,0.7144926498
532,3.42423142040243E-11,0.223448665,0.8394039359
540,2.27377742364153E-12,0.142574255,0.9101054155
550,6.08651614673547E-14,0.073971683,0.9736895283
560,1.25783414122953E-15,0.034410714,0.9997729605
570,2.00201738242467E-17,0.014293673,0.9812470428
580,2.44920314188127E-19,0.00528155,0.9169090795
589,3.71116213998893E-21,0.001944852,0.8244971554
600,1.65397459765915E-23,0.000500596,0.6803623055
610,9.10857117228462E-26,0.000127608,0.5362670911
620,3.83718223641578E-28,2.85751E-05,0.3965079637
632,3.79843784945484E-31,3.9838E-06,0.2524481866
640,3.04316249409667E-33,9.61809E-07,0.1765454787
650,5.7274735021069E-36,1.43937E-07,0.1056403927
660,8.2413972386292E-39,1.87568E-08,0.0585482341
670,4.52237581696483E-42,1.69569E-09,0.0279033404
680,7.6384555772243E-45,2.08905E-10,0.0141310335
690,4.9262917013442E-48,1.78035E-11,0.0061218717
700,2.43510587155484E-51,1.31362E-12,0.0024309215
